,iso_code,country,EU?,count,total_capacity_gw,max_capacity_mw,count_distinct_fuel,count_distinct_name,count_distinct_owner,count_distinct_source,count_fuel_coal,capacity_gw_fuel_coal,count_fuel_gas,capacity_gw_fuel_gas,count_fuel_oil,capacity_gw_fuel_oil,count_fuel_petcoke,capacity_gw_fuel_petcoke,count_fuel_hydro,capacity_gw_fuel_hydro,count_fuel_nuclear,capacity_gw_fuel_nuclear,count_fuel_wind,capacity_gw_fuel_wind,count_fuel_solar,capacity_gw_fuel_solar,count_fuel_geothermal,capacity_gw_fuel_geothermal,count_fuel_biomass,capacity_gw_fuel_biomass,count_fuel_cogeneration,capacity_gw_fuel_cogeneration,count_fuel_waste,capacity_gw_fuel_waste,count_fuel_wave_and_tidal,capacity_gw_fuel_wave_and_tidal,count_fuel_storage,capacity_gw_fuel_storage,count_fuel_other,capacity_gw_fuel_other,count_null_name,count_null_gppd_idnr,count_null_capacity_mw,count_null_year_of_capacity_data,count_null_owner,count_null_source,count_null_url,count_null_latitude,count_null_longitude,count_null_fuel,count_wepp_id,capacity_gw_wepp_id,count_null_generation_gwh_all,count_generation_gwh_2013,count_generation_gwh_2014,count_generation_gwh_2015,count_generation_gwh_2016,count_generation_gwh_2017,count_generation_gwh_2018,count_generation_gwh_2019,count_generation_data_source,count_estimated_generation_gwh
31,BDI,Burundi,False,4,0.05717,20.0,2.0,4.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.04957,0.0,0.0,0.0,0.0,1.0,0.0076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.04957,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,KHM,Cambodia,False,16,1.5175999999999998,405.0,6.0,16.0,6.0,5.0,2.0,0.505,0.0,0.0,3.0,0.0536,0.0,0.0,5.0,0.909,0.0,0.0,0.0,0.0,3.0,0.0228,0.0,0.0,1.0,0.002,0.0,0.0,2.0,0.0252,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.471,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
33,CMR,Cameroon,False,8,0.88158,396.0,3.0,8.0,1.0,1.0,0.0,0.0,1.0,0.2,4.0,0.0513799999999999,0.0,0.0,3.0,0.6302000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,0.88158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0
34,CAN,Canada,False,1159,143.57869999999997,5616.0,10.0,1150.0,471.0,3.0,15.0,9.772,75.0,19.7864,9.0,2.344,0.0,0.0,556.0,80.68300000000004,6.0,14.254,241.0,12.133800000000004,143.0,1.8266,0.0,0.0,111.0,2.7419,0.0,0.0,0.0,0.0,1.0,0.02,0.0,0.0,2.0,0.017,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,0.0,0.0,838.0,124.00629999999995,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1158.0
35,CPV,Cape Verde,False,4,0.092805,66.23,2.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,3.0,0.087805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.087805,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
36,CYM,Cayman Islands,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,CAF,Central African Republic,False,2,0.033664,19.3,2.0,2.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.014364,0.0,0.0,1.0,0.0193,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.014364,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,TCD,Chad,False,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,CHL,Chile,False,315,22.475648666999994,1001.7,8.0,312.0,131.0,2.0,14.0,4.8392686000000005,11.0,2.998107689,76.0,3.1488248780000005,5.0,2.4028775,99.0,6.41,0.0,0.0,18.0,0.8968200000000001,77.0,3.9537500000000008,0.0,0.0,22.0,0.3839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.0,0.0,0.0,0.0,0.0,0.0,0.0,194.0,16.332724716999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315.0
40,CHN,China,False,4235,1415.0673799999995,22500.0,8.0,4227.0,626.0,93.0,946.0,955.718,170.0,59.7745,6.0,1.6125,0.0,0.0,947.0,259.0256,12.0,33.402,835.0,50.99035999999999,1318.0,54.80181999999997,2.0,0.0261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4235.0,0.0,0.0,0.0,0.0,0.0,0.0,1480.0,1016.54608,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4235.0
